id;data;cidade_origem;uf_origem;base_origem;nf;valor_da_nota;volumes;peso_real;peso_cubado;cidade_destino;uf_destino;base;setor;frete_peso;seguro;total_frete
19026;2024-12-01;CURITIBA;PR;CWB;1020;240,02;1;2,07;2,07;"SAO PAULO";SP;SAO;CEN;50,55;0,72;51,27
19027;2024-12-02;CURITIBA;PR;CWB;1021;675,97;9;52,74;52,74;"SAO PAULO";SP;SAO;CEN;84,32;2,03;86,34
19028;2024-12-03;CURITIBA;PR;CWB;1022;1056,05;19;66,32;66,32;JUQUITIBA;SP;SPO;TWM;125,85;3,17;129,02
19029;2024-12-04;CURITIBA;PR;CWB;1023;32,27;1;3.0;3.0;OSASCO;SP;SPO;TLG;69,53;0,1;69,63
19030;2024-12-05;CURITIBA;PR;CWB;1024;1832,27;20;95,9;95,9;"SAO PAULO";SP;SAO;CEN;118,41;5,5;123,9
19031;2024-12-06;CURITIBA;PR;CWB;1025;8073,24;92;373,6;373,6;CAMPINAS;SP;SPO;DOC;433,13;24,22;457,35
19032;2024-12-07;CURITIBA;PR;CWB;1026;169,9;1;5,36;5,36;CAMPINAS;SP;SPO;DOC;69,53;0,51;70,04
19033;2024-12-08;CURITIBA;PR;CWB;1027;3,85;2;4,34;4,34;"SAO VICENTE";SP;SPO;TLG;69,53;0,01;69,54
19034;2024-12-09;CURITIBA;PR;CWB;1028;274,7;4;14,13;14,13;"RIBEIRAO PRETO";SP;SPO;DVT;73,66;0,82;74,48
19035;2024-12-10;CURITIBA;PR;CWB;1029;739,44;14;35,04;35,04;"PARAGUACU PAULISTA";SP;SPO;DVT;94,57;2,22;96,79
19036;2024-12-11;CURITIBA;PR;CWB;1030;1306,85;18;52,21;52,21;LINS;SP;SPO;DVT;111,74;3,92;115,66
19037;2024-12-12;CURITIBA;PR;CWB;1031;405,44;5;19,46;19,46;PINDAMONHANGABA;SP;SPO;DOC;78,99;1,22;80,2
19038;2024-12-13;CURITIBA;PR;CWB;1032;1770,37;29;100,67;100,67;"SANTO ANDRE";SP;SPO;TLG;160,2;5,31;165,51
19039;2024-12-14;CURITIBA;PR;CWB;1033;681,95;8;34,63;34,63;"SAO BERNARDO DO CAMPO";SP;SPO;TLG;94,16;2,05;96,21
19040;2024-12-15;CURITIBA;PR;CWB;1034;544,69;8;45,79;45,79;ARUJA;SP;SPO;TLG;105,32;1,63;106,95
19041;2024-12-16;CURITIBA;PR;CWB;1035;1210,97;14;71,04;71,04;"SAO BERNARDO DO CAMPO";SP;SPO;TLG;130,57;3,63;134,21
19042;2024-12-17;CURITIBA;PR;CWB;1036;51,33;1;2,07;2,07;"SAO BERNARDO DO CAMPO";SP;SPO;TLG;69,53;0,15;69,68
19043;2024-12-18;CURITIBA;PR;CWB;1037;1218,77;9;46,97;46,97;JANDIRA;SP;SPO;TLG;106,5;3,66;110,16
19044;2024-12-19;CURITIBA;PR;CWB;1038;176,92;3;10,44;10,44;"SAO PAULO";SP;SAO;CEN;50,9;0,53;51,43
19045;2024-12-20;CURITIBA;PR;CWB;1039;947,76;9;58,86;58,86;"SAO PAULO";SP;SAO;CEN;89,15;2,84;91,99
19046;2024-12-21;CURITIBA;PR;CWB;1040;1326,85;21;104,97;104,97;"SAO PAULO";SP;SAO;CEN;125,58;3,98;129,56
19047;2024-12-22;CURITIBA;PR;CWB;1041;1044,96;12;72,55;72,55;"SAO PAULO";SP;SAO;CEN;99,97;3,13;103,1
19048;2024-12-01;CURITIBA;PR;CWB;1042;816,11;6;23,77;23,77;DIADEMA;SP;SPO;TLG;83,3;2,45;85,75
19049;2024-12-01;CURITIBA;PR;CWB;1043;933,68;17;61,65;61,65;MAUA;SP;SPO;TLG;121,18;2,8;123,98
19050;2024-12-01;CURITIBA;PR;CWB;1044;1903,43;16;103,43;103,43;"SAO BERNARDO DO CAMPO";SP;SPO;TLG;162,96;5,71;168,67
19051;2024-12-01;CURITIBA;PR;CWB;1045;1521,81;12;82,28;82,28;"SAO PAULO";SP;SAO;CEN;107,65;4,57;112,22
19052;2024-12-01;CURITIBA;PR;CWB;1046;1883,24;22;136,43;136,43;OSASCO;SP;SPO;TLG;195,96;5,65;201,61
19053;2024-12-01;CURITIBA;PR;CWB;1047;717,05;13;55,83;55,83;CARAPICUIBA;SP;SPO;TLG;115,36;2,15;117,51
19054;2024-12-01;CURITIBA;PR;CWB;1048;1246,07;20;92,25;92,25;"SAO PAULO";SP;SAO;CEN;115,52;3,74;119,26
19055;2024-12-01;CURITIBA;PR;CWB;1049;972,31;15;84,42;84,42;ITAQUAQUECETUBA;SP;SPO;TLG;143,95;2,92;146,87
19056;2024-12-01;CURITIBA;PR;CWB;1050;0.0;3;11,71;11,71;"EMBU DAS ARTES";SP;SPO;TLG;71,24;0.0;71,24
19057;2024-12-01;CURITIBA;PR;CWB;1051;1530,76;16;67,71;67,71;"SAO PAULO";SP;SAO;CEN;96,14;4,59;100,74
19058;2024-12-01;CURITIBA;PR;CWB;1052;849,99;15;50,12;50,12;"SANTO ANDRE";SP;SPO;TLG;109,65;2,55;112,2
19059;2024-12-01;CURITIBA;PR;CWB;1053;1453,21;22;93,74;93,74;"SANTO ANDRE";SP;SPO;TLG;153,27;4,36;157,63
19060;2024-12-01;CURITIBA;PR;CWB;1054;1354,44;18;47,04;47,04;"SAO PAULO";SP;SAO;CEN;79,81;4,06;83,87
19061;2024-12-01;CURITIBA;PR;CWB;1055;121,72;1;3.0;3.0;CAJAMAR;SP;SPO;TLG;69,53;0,37;69,9
19062;2024-12-01;CURITIBA;PR;CWB;1056;1243,08;17;70,63;70,63;"SAO PAULO";SP;SAO;CEN;98,45;3,73;102,17
19063;2024-12-01;CURITIBA;PR;CWB;1057;1161,73;12;58,7;58,7;"SAO BERNARDO DO CAMPO";SP;SPO;TLG;118,23;3,49;121,72
19064;2024-12-01;CURITIBA;PR;CWB;1058;1317,27;22;96,99;96,99;"FERRAZ DE VASCONCELOS";SP;SPO;TLG;156,52;3,95;160,47
19065;2024-12-01;CURITIBA;PR;CWB;1059;1639,04;23;111,72;111,72;"SAO PAULO";SP;SAO;CEN;130,91;4,92;135,83
19066;2024-12-01;CURITIBA;PR;CWB;1060;1739,7;29;127,36;127,36;"SAO PAULO";SP;SAO;CEN;143,27;5,22;148,49
19067;2024-12-01;CURITIBA;PR;CWB;1061;1822,5;21;95,1;95,1;SUZANO;SP;SPO;TLG;154,63;5,47;160,09
19068;2024-12-01;CURITIBA;PR;CWB;1062;1108,46;15;55,63;55,63;"SANTO ANDRE";SP;SPO;TLG;115,16;3,33;118,48
19069;2024-12-01;CURITIBA;PR;CWB;1063;797,84;13;32,98;32,98;CRUZEIRO;SP;SPO;DVT;92,51;2,39;94,9
19070;2024-12-01;CURITIBA;PR;CWB;1064;54,1;1;2,07;2,07;"ITAPECERICA DA SERRA";SP;SPO;DOC;69,53;0,16;69,69
19071;2024-12-01;CURITIBA;PR;CWB;1065;1690,56;24;119,27;119,27;"SAO PAULO";SP;SAO;CEN;136,87;5,07;141,94
19072;2024-12-01;CURITIBA;PR;CWB;1066;409,4;4;11,73;11,73;CURITIBA;PR;CWB;URB;36,64;1,23;37,87
19073;2024-12-01;CURITIBA;PR;CWB;1067;572,67;9;27,26;27,26;TAQUARA;RS;POA;QHV;99,47;1,72;101,19
19074;2024-12-01;CURITIBA;PR;CWB;1068;288,26;2;6,74;6,74;JAGUARAO;RS;RGS;PET;65,29;0,86;66,15
19075;2024-12-01;CURITIBA;PR;CWB;1069;1236,09;16;44,97;44,97;CURITIBA;PR;CWB;URB;66,89;3,71;70,6
19076;2024-12-01;CURITIBA;PR;CWB;1070;1378,94;12;36,85;36,85;"FOZ DO IGUACU";PR;CSC;IGU;73,15;4,14;77,28
19077;2024-12-01;CURITIBA;PR;CWB;1071;1547,66;26;73,22;73,22;"FRANCISCO BELTRAO";PR;PTO;PBC;114,25;4,64;118,89
19078;2024-12-01;CURITIBA;PR;CWB;1072;1706,91;23;73,96;73,96;GUAIRA;PR;CSC;CSC;115,09;5,12;120,21
19079;2024-12-01;CURITIBA;PR;CWB;1073;146,12;1;2.0;2.0;CIANORTE;PR;MGF;CIA;42,81;0,44;43,25
19080;2024-12-01;CURITIBA;PR;CWB;1074;377,46;5;10,96;10,96;"TELEMACO BORBA";PR;PGZ;TEC;43,9;1,13;45,03
19081;2024-12-01;CURITIBA;PR;CWB;1075;968,32;14;50,13;50,13;JACAREI;SP;SPO;DOC;109,66;2,9;112,57
19082;2024-12-01;CURITIBA;PR;CWB;1076;1025,43;14;40,91;40,91;CASTRO;PR;PGZ;CAS;77,74;3,08;80,81
19083;2024-12-01;CURITIBA;PR;CWB;1077;1034,62;9;46,09;46,09;"FOZ DO IGUACU";PR;CSC;IGU;83,59;3,1;86,7
19084;2024-12-01;CURITIBA;PR;CWB;1078;1099,97;9;44,63;44,63;"NOVO HAMBURGO";RS;POA;QHV;133,87;3,3;137,17
19085;2024-12-01;CURITIBA;PR;CWB;1079;1152,64;7;28,15;28,15;CASCAVEL;PR;CAC;URB;63,32;3,46;66,78
19086;2024-12-01;CURITIBA;PR;CWB;1080;2340,53;26;103,77;103,77;"PATO BRANCO";PR;PTO;PBC;148,76;7,02;155,79
19087;2024-12-01;CURITIBA;PR;CWB;1081;1339,84;32;101,61;101,61;TURVO;SC;CCM;ARA;173,71;4,02;177,73
19088;2024-12-01;CURITIBA;PR;CWB;1082;3449,47;21;97,28;97,28;"FOZ DO IGUACU";PR;CSC;IGU;141,44;10,35;151,79
19089;2024-12-01;CURITIBA;PR;CWB;1083;2018,86;16;73,19;73,19;MARIALVA;PR;MGF;JDS;114,21;6,06;120,27
19090;2024-12-01;CURITIBA;PR;CWB;1084;2112,45;30;119,44;119,44;CIANORTE;PR;MGF;CIA;166,48;6,34;172,82
19091;2024-12-01;CURITIBA;PR;CWB;1085;1647,76;22;127,22;127,22;VOTUPORANGA;SP;SPO;DVT;186,75;4,94;191,7
19092;2024-12-01;CURITIBA;PR;CWB;1086;2174,23;32;117,83;117,83;"FRANCISCO BELTRAO";PR;PTO;PBC;164,66;6,52;171,18
19093;2024-12-01;CURITIBA;PR;CWB;1087;753,04;8;23,66;23,66;SOROCABA;SP;SPO;DOC;83,19;2,26;85,45
19094;2024-12-01;CURITIBA;PR;CWB;1088;4425,41;57;220,26;220,26;CURITIBA;PR;CWB;URB;226,4;13,28;239,68
19095;2024-12-01;CURITIBA;PR;CWB;1089;3545,06;32;105,12;105,12;CURITIBA;PR;CWB;URB;121,63;10,64;132,26
19096;2024-12-01;CURITIBA;PR;CWB;1090;969,78;10;51,94;51,94;CRICIUMA;SC;CCM;CRI;104,17;2,91;107,08
19097;2024-12-01;CURITIBA;PR;CWB;1091;1148,43;21;66,79;66,79;"PORTO ALEGRE";RS;POA;URB;143,87;3,45;147,31
19098;2024-12-01;CURITIBA;PR;CWB;1092;677,59;10;38,95;38,95;"BENTO GONCALVES";RS;POA;CXJ;122,61;2,03;124,64
19099;2024-12-01;CURITIBA;PR;CWB;1093;536,89;10;33,81;33,81;LAJEADO;RS;RGS;LJD;112,43;1,61;114,04
19100;2024-12-01;CURITIBA;PR;CWB;1094;627,43;12;39,17;39,17;SANTIAGO;RS;RGS;RIA;123,04;1,88;124,92
19101;2024-12-01;CURITIBA;PR;CWB;1095;1875,88;20;71,26;71,26;PINDAMONHANGABA;SP;SPO;DOC;130,79;5,63;136,42
19102;2024-12-01;CURITIBA;PR;CWB;1096;2078,88;23;82,71;82,71;JACAREI;SP;SPO;DOC;142,24;6,24;148,48
19103;2024-12-01;CURITIBA;PR;CWB;1097;2012,85;26;97,05;97,05;"NOVO HAMBURGO";RS;POA;QHV;237,64;6,04;243,68
19104;2024-12-02;CURITIBA;PR;CWB;1098;3031,2;41;123,94;123,94;MEDIANEIRA;PR;CSC;CSC;171,56;9,09;180,65
19105;2024-12-03;CURITIBA;PR;CWB;1099;4156,98;61;184,27;184,27;MARINGA;PR;MGF;URB;239,74;12,47;252,21
19106;2024-12-04;CURITIBA;PR;CWB;1100;4178,2;55;201,27;201,27;CASCAVEL;PR;CAC;URB;258,95;12,53;271,48
19107;2024-12-05;CURITIBA;PR;CWB;1101;136,45;3;14,99;14,99;BIGUACU;SC;FLN;504;52,44;0,41;52,85
19108;2024-12-06;CURITIBA;PR;CWB;1102;4707,62;65;238,17;238,17;"UNIAO DA VITORIA";PR;CWB;LPR;300,65;14,12;314,77
19109;2024-12-07;CURITIBA;PR;CWB;1103;550,94;9;28,4;28,4;LAGES;SC;CTB;LAJ;71,2;1,65;72,86
19110;2024-12-08;CURITIBA;PR;CWB;1104;617,8;11;46,36;46,36;HARMONIA;RS;RGS;CXJ;137,29;1,85;139,14
19111;2024-12-09;CURITIBA;PR;CWB;1105;1350,06;16;53,85;53,85;PINHAIS;PR;CWB;215;92,36;4,05;96,41
19112;2024-12-10;CURITIBA;PR;CWB;1106;1166,03;20;49,34;49,34;CONCORDIA;SC;XAP;CCA;100,52;3,5;104,02
19113;2024-12-11;CURITIBA;PR;CWB;1107;1211,48;10;42,3;42,3;CAMPINAS;SP;SPO;DOC;101,83;3,63;105,46
19114;2024-12-12;CURITIBA;PR;CWB;1108;4997,22;68;238,17;238,17;ARAPONGAS;PR;LDB;ARA;300,65;14,99;315,64
19115;2024-12-13;CURITIBA;PR;CWB;1109;1841,28;23;72,42;72,42;CUBATAO;SP;SPO;TLG;131,95;5,52;137,47
19116;2024-12-14;CURITIBA;PR;CWB;1110;6019,19;68;268,91;268,91;CURITIBA;PR;CWB;URB;270,68;18,06;288,73
19117;2024-12-15;CURITIBA;PR;CWB;1111;2770,4;25;123,16;123,16;"SAO JOSE DOS CAMPOS";SP;SPO;DOC;182,69;8,31;191.0
19118;2024-12-16;CURITIBA;PR;CWB;1112;752,76;4;22,75;22,75;"SAO JOAO DA BOA VISTA";SP;SPO;DVT;82,28;2,26;84,54
19119;2024-12-17;CURITIBA;PR;CWB;1113;888,56;10;43,76;43,76;JUNDIAI;SP;SPO;TLG;103,29;2,67;105,95
19120;2024-12-18;CURITIBA;PR;CWB;1114;916,12;10;30,08;30,08;AMERICANA;SP;SPO;DOC;89,61;2,75;92,36
19121;2024-12-19;CURITIBA;PR;CWB;1115;1045,24;19;50,13;50,13;"BRAGANCA PAULISTA";SP;SPO;DOC;109,66;3,14;112,79
19122;2024-12-20;CURITIBA;PR;CWB;1116;1967,11;32;115,6;115,6;CANOAS;RS;POA;URB;274,37;5,9;280,27
19123;2024-12-21;CURITIBA;PR;CWB;1117;2541,6;32;101,5;101,5;"PRAIA GRANDE";SP;SPO;TLG;161,03;7,62;168,65
19124;2024-12-22;CURITIBA;PR;CWB;1118;721,82;17;64,51;64,51;"CERRO LARGO";RS;RGS;GEL;173,22;2,17;175,39
19125;2024-12-23;CURITIBA;PR;CWB;1119;1490,48;24;55,95;55,95;OURINHOS;SP;SPO;DVT;115,48;4,47;119,95
19126;2024-12-24;CURITIBA;PR;CWB;1120;1093,2;20;67,52;67,52;BIGUACU;SC;FLN;504;125,98;3,28;129,25
19127;2024-12-25;CURITIBA;PR;CWB;1121;1630,76;24;93,88;93,88;VIRADOURO;SP;SPO;DVT;153,41;4,89;158,3
19128;2024-12-26;CURITIBA;PR;CWB;1122;1758,44;28;93,24;93,24;FRANCA;SP;SPO;DVT;152,77;5,28;158,05
19129;2024-12-27;CURITIBA;PR;CWB;1123;1760,72;22;60,92;60,92;BAURU;SP;SPO;DVT;120,45;5,28;125,74
19130;2024-12-28;CURITIBA;PR;CWB;1124;1764.0;30;89,37;89,37;PIRACICABA;SP;SPO;DOC;148,9;5,29;154,19
19131;2024-12-29;CURITIBA;PR;CWB;1125;1771,92;21;59,2;59,2;INDAIATUBA;SP;SPO;DOC;118,73;5,32;124,05
19132;2024-12-30;CURITIBA;PR;CWB;1126;1860,24;18;60,61;60,61;AVARE;SP;SPO;DVT;120,14;5,58;125,72
19133;2024-12-31;CURITIBA;PR;CWB;1127;1902,32;21;85,85;85,85;FRANCA;SP;SPO;DVT;145,38;5,71;151,09
19134;2025-01-01;CURITIBA;PR;CWB;1128;1971,32;14;38,94;38,94;INDAIATUBA;SP;SPO;DOC;98,47;5,91;104,39
19135;2025-01-02;CURITIBA;PR;CWB;1129;1989,56;20;71,16;71,16;"RIBEIRAO PRETO";SP;SPO;DVT;130,69;5,97;136,66
19136;2025-01-03;CURITIBA;PR;CWB;1130;1957,04;15;82,08;82,08;NAO-ME-TOQUE;RS;RGS;SLD;208,02;5,87;213,89
19137;2025-01-04;CURITIBA;PR;CWB;1131;2598,15;28;121,28;121,28;"LAGOA VERMELHA";RS;RGS;PFB;285,63;7,79;293,42
19138;2025-01-05;CURITIBA;PR;CWB;1132;568,72;9;30,25;30,25;"RIBEIRAO PRETO";SP;SPO;DVT;89,78;1,71;91,49
19139;2025-01-06;CURITIBA;PR;CWB;1133;683,24;6;28,8;28,8;"SAO PAULO";SP;SAO;CEN;65,4;2,05;67,45
19140;2025-01-07;CURITIBA;PR;CWB;1134;3462,4;39;83,92;83,92;SOROCABA;SP;SPO;DOC;143,45;10,39;153,83
19141;2025-01-08;CURITIBA;PR;CWB;1135;825,64;9;37,57;37,57;MARILIA;SP;SPO;DVT;97,1;2,48;99,58
19142;2025-01-09;CURITIBA;PR;CWB;1136;860,12;14;52,15;52,15;"SAO CARLOS";SP;SPO;DVT;111,68;2,58;114,26
19143;2025-01-10;CURITIBA;PR;CWB;1137;969,48;14;39,88;39,88;JUNDIAI;SP;SPO;TLG;99,41;2,91;102,32
19144;2025-01-11;CURITIBA;PR;CWB;1138;1319.0;19;54,95;54,95;ARACATUBA;SP;SPO;DVT;114,48;3,96;118,43
19145;2025-01-12;CURITIBA;PR;CWB;1139;1483,72;21;67,23;67,23;ARACATUBA;SP;SPO;DVT;126,76;4,45;131,21
19146;2025-01-13;CURITIBA;PR;CWB;1140;0.0;18;61,46;61,46;ITARARE;SP;SPO;DVT;120,99;0.0;120,99
19147;2025-01-14;CURITIBA;PR;CWB;1141;1652,96;19;65,27;65,27;SOROCABA;SP;SPO;DOC;124,8;4,96;129,76
19148;2025-01-15;CURITIBA;PR;CWB;1142;1674,12;26;93,79;93,79;"BRAGANCA PAULISTA";SP;SPO;DOC;153,32;5,02;158,34
19149;2025-01-16;CURITIBA;PR;CWB;1143;3149,04;46;159,15;159,15;TAUBATE;SP;SPO;DOC;218,68;9,45;228,13
19150;2025-01-17;CURITIBA;PR;CWB;1144;2111,28;28;78,71;78,71;ARACATUBA;SP;SPO;DVT;138,24;6,33;144,57
19151;2025-01-18;CURITIBA;PR;CWB;1145;7295,33;115;384,68;384,68;CURITIBA;PR;CWB;URB;376,03;21,89;397,92
19152;2025-01-19;CURITIBA;PR;CWB;1146;1569,12;25;85,2;85,2;CAMPINAS;SP;SPO;DOC;144,73;4,71;149,44
19153;2025-01-20;CURITIBA;PR;CWB;1147;2310,92;30;100,74;100,74;MARILIA;SP;SPO;DVT;160,27;6,93;167,2
